t,Ax,Ay,Az,aT
0.005262,-0.6995,0.0233,-0.1774,0.72
0.009857,-0.6395,-0.0306,0.0897,0.65
0.025845,-0.307,-0.1573,0.6179,0.71
0.031301,-0.2453,-0.1579,0.5869,0.66
0.039484,-0.1908,-0.1741,0.5203,0.58
0.056629,0.0575,-0.2259,0.3495,0.42
0.064851,0.1397,-0.2391,0.2618,0.38
0.071296,0.1485,-0.1971,0.1359,0.28
0.079377,0.0713,-0.1112,0.0267,0.13
0.094769,-0.1026,-0.0166,-0.257,0.28
0.104044,-0.1634,-0.0198,-0.3336,0.37
0.112407,-0.2351,-0.0438,-0.2955,0.38
0.120697,-0.2663,-0.0408,-0.248,0.37
0.128687,-0.256,-0.0301,-0.1624,0.3
0.143364,-0.0517,-0.0125,0.09,0.1
0.154395,-0.0005,-0.0541,0.2307,0.24
0.16222,0.0573,-0.1168,0.2974,0.32
0.175429,0.0565,-0.1335,0.3238,0.35
0.183452,0.0238,-0.0708,0.3121,0.32
0.191456,-0.0125,-0.0247,0.2647,0.27
0.199107,0.0054,-0.0188,0.2007,0.2
0.215762,-0.0363,0.0292,0.2431,0.25
0.224493,-0.0577,-0.0213,0.3304,0.34
0.231827,-0.0909,-0.0398,0.3245,0.34
0.239496,-0.1559,-0.0141,0.1632,0.23
0.255125,-0.3534,-0.007,-0.3388,0.49
0.26371,-0.4227,-0.0695,-0.5817,0.72
0.271762,-0.4536,-0.1361,-0.6791,0.83
0.279874,-0.4373,-0.1665,-0.6334,0.79
0.287935,-0.3925,-0.1219,-0.4492,0.61
0.303143,-0.0215,0.2006,0.803,0.83
0.313851,0.1564,0.3289,1.2375,1.29
0.324506,0.1644,0.4402,1.3186,1.4
0.331877,0.1317,0.4048,1.2048,1.28
0.343392,0.1135,0.118,0.5882,0.61
0.354192,-0.0459,-0.1525,0.0036,0.16
0.359702,-0.2394,-0.4069,-0.4943,0.68
0.367805,-0.3357,-0.5297,-0.5491,0.83
0.383704,-0.0076,-0.369,-0.0254,0.37
0.391668,0.0185,-0.2041,0.3476,0.4
0.399878,0.0343,0.2535,1.3177,1.34
0.415941,0.1236,0.512,1.765,1.84
0.424216,-0.3255,1.0323,1.5601,1.9
0.432291,-0.2298,0.9041,1.2129,1.53
0.440126,-0.1228,0.9117,1.2205,1.53
0.455413,-0.6383,0.5628,0.5595,1.02
0.46328,-0.7893,-0.261,-0.2905,0.88
0.471618,-0.9006,-1.1132,-1.2222,1.88
0.479827,-1.0384,-1.5685,-1.6447,2.5
0.48949,-1.1121,-1.7797,-1.7492,2.73
0.503694,-0.8238,-0.7837,-1.2065,1.66
0.515204,-0.7245,-0.0285,-0.7543,1.05
0.522928,-0.4353,0.4401,-0.401,0.74
0.530839,-0.1128,0.6261,-0.0979,0.64
0.539316,0.2234,0.2296,-0.3814,0.5
0.551684,0.2026,-0.656,-1.4764,1.63
0.563769,-0.1955,-0.7352,-1.8905,2.04
0.576011,-0.88,-0.0784,-1.9595,2.15
0.58389,-0.8034,-0.1289,-1.6729,1.86
0.592077,-0.8488,0.0597,-1.2496,1.51
0.600124,-0.5191,-0.1194,-0.8748,1.02
0.60799,-0.3121,-0.1153,-0.4788,0.58
0.62418,0.3429,0.0301,0.3127,0.47
0.632141,0.8033,-0.0039,0.7119,1.07
0.640285,0.9655,-0.047,0.7372,1.22
0.648204,0.7508,0.0803,0.6044,0.97
0.663855,0.1693,0.0786,0.4222,0.46
0.672094,0.0349,0.0535,0.1298,0.14
0.680964,0.2142,-0.0208,-0.2609,0.34
0.688088,0.3648,-0.0306,-0.5853,0.69
0.703865,0.1767,-0.147,-1.169,1.19
0.715391,-0.3854,-0.0689,-1.0596,1.13
0.721998,-0.905,0.0497,-0.9414,1.31
0.731019,-1.5755,-0.3349,-0.742,1.77
0.739881,-1.9801,-0.5071,-0.3916,2.08
0.752182,-1.043,0.03,-0.3512,1.1
0.762643,-0.221,0.1089,-0.7572,0.8
0.772386,0.6374,0.2545,-0.9978,1.21
0.783898,1.4695,0.1528,-1.0466,1.81
0.791763,1.429,0.0721,-1.0669,1.78
0.799754,1.1955,-0.1032,-1.3698,1.82
0.80794,0.8988,-0.1755,-1.8574,2.07
0.823688,-0.4567,0.2581,-3.1509,3.19
0.833068,-1.3393,0.5087,-3.5961,3.87
0.840415,-2.0427,0.5906,-3.7844,4.34
0.848959,-2.4151,0.4824,-3.6692,4.42
0.863939,-1.1294,-0.2405,-4.4041,4.55
0.874248,0.0444,-0.6528,-4.4215,4.47
0.880617,0.4843,-0.28,-4.3763,4.41
0.888064,1.1757,0.3456,-3.9463,4.13
0.904121,1.6971,0.2535,-3.1952,3.63
0.913306,1.4941,-0.2035,-2.3517,2.79
0.923089,0.8437,-0.4094,-1.7714,2
0.931464,-0.0001,-0.8246,-1.6483,1.84
0.939404,-0.3526,-1.2507,-1.9727,2.36
0.953667,-0.3166,-1.5263,-2.7259,3.14
0.964959,-0.0862,-1.3154,-2.4812,2.81
0.976655,0.3112,-0.9934,-1.1738,1.57
0.983534,0.6731,-1.025,-0.6505,1.39
0.992301,0.868,-1.2019,-0.2224,1.5
1.000185,0.4761,-2.4418,-0.6304,2.57
1.007826,0.764,-1.5569,-0.4024,1.78
1.024185,0.7427,-0.7889,-1.5362,1.88
1.031561,1.0402,-1.3007,-2.2673,2.81
1.040424,0.8401,-1.4486,-2.7104,3.19
1.052677,0.4206,-1.6485,-2.7721,3.25
1.06552,0.8647,-2.0735,-1.5587,2.73
1.071581,0.9952,-2.1394,-0.9425,2.54
1.079904,1.2677,-2.3612,-0.4692,2.72
1.087996,1.6027,-2.4017,0.1161,2.89
1.103721,2.4399,-2.0816,0.5334,3.25
1.112227,2.6593,-1.7959,0.347,3.23
1.122147,2.5495,-1.3902,-0.0934,2.91
1.129366,2.427,-1.1898,-0.2467,2.71
1.143906,2.3982,-1.1511,-0.2163,2.67
1.154443,2.369,-1.1192,0.1484,2.62
1.163065,2.248,-0.9893,0.6129,2.53
1.171337,2.1288,-1.1023,1.0559,2.62
1.183627,1.7897,-0.748,2.3203,3.02
1.191724,0.9255,-0.0256,2.4287,2.6
1.200574,0.604,0.0307,1.9827,2.07
1.207941,0.7014,0.0723,1.1769,1.37
1.224085,1.3126,1.0287,-0.0088,1.67
1.232036,1.5303,1.5079,0.187,2.16
1.239471,1.7695,1.4459,1.2554,2.61
1.248391,1.9434,1.3704,2.4419,3.41
1.264152,1.1426,1.6798,4.1327,4.61
1.272494,0.3974,2.0412,4.5768,5.03
1.280335,0.0131,2.2752,4.5588,5.1
1.288186,0.0484,2.3064,4.1843,4.78
1.304056,0.7116,2.1195,2.9882,3.73
1.315745,1.6212,2.3921,2.2426,3.66
1.321231,2.1661,2.3371,2.4468,4.02
1.329971,2.3152,1.8851,3.0032,4.23
1.343191,1.1823,1.2046,4.1715,4.5
1.355224,1.104,1.6143,4.2993,4.72
1.364224,1.2856,1.9664,3.7509,4.43
1.368263,0.9333,1.8316,2.916,3.57
1.383655,-0.8701,1.3151,1.5353,2.2
1.391639,-2.1331,0.8988,1.4205,2.72
1.39947,-3.2891,0.5361,1.2179,3.55
1.408044,-3.9024,0.4375,0.903,4.03
1.424353,-4.668,0.1727,0.1147,4.67
1.432087,-5.2008,0.4207,-0.1686,5.22
1.440302,-5.5926,0.8399,-0.3195,5.66
1.456087,-5.3568,0.3887,-1.2306,5.51
1.464436,-5.135,0.2213,-1.6709,5.4
1.472656,-4.6223,0.1007,-2.1067,5.08
1.48018,-4.1795,0.001,-2.35,4.79
1.487804,-3.8192,-0.3806,-2.4631,4.56
