
time,gFx,gFy,gFz,wx,wy,wz,
0.096710,0.0164,0.3254,0.9477,-0.4655,-0.1796,0.2676,
0.196472,0.0213,0.2629,0.9264,-0.2822,-0.3189,-0.0434,
0.296575,0.0279,0.2604,0.8477,-0.0806,0.3286,0.2608,
0.396674,0.0401,0.2375,0.8839,0.0305,-0.8595,-0.9798,
0.496861,0.0603,0.3501,0.8343,-1.1814,0.0941,-0.7410,
0.597175,0.1500,0.3381,0.8775,0.5272,0.2279,-0.2401,
0.697700,0.0809,0.3286,0.8131,1.0256,-0.6316,-0.9475,
0.797857,0.0217,0.4617,0.9201,-0.6109,-0.6347,0.3757,
0.897991,0.7041,0.2231,0.9027,0.3787,-2.1496,-0.3268,
0.998112,0.3376,0.3010,0.4786,-0.8241,-0.8008,0.0134,
1.098291,0.0985,-0.0989,1.1319,-2.8265,-0.5058,-0.0104,
1.198547,0.1207,-0.3572,1.0574,-0.4991,-3.4850,0.4600,
1.298621,0.8255,-0.4693,1.2660,-1.3793,-2.8601,1.8864,
1.398799,0.9655,-0.4881,0.6819,0.7129,-3.3317,2.8729,
1.498919,1.6034,-0.0645,0.4854,0.7239,-1.0757,0.6151,
1.599148,1.0117,-0.1732,-0.1818,1.1735,-2.8619,-1.8717,
1.699463,0.5727,0.0166,-0.9753,-1.6096,-1.3891,-1.5687,
1.800377,1.5152,-0.1024,-0.3792,0.0232,-2.1087,-1.8204,
1.900546,0.4505,-0.6799,-1.2516,0.8125,-0.1387,1.2785,
33.615992,-0.0344,0.2279,0.9171,-0.5742,-0.6756,0.6212,
33.716866,-0.0572,0.2709,0.8990,0.6439,-0.5296,0.0623,
33.818448,-0.0362,0.2621,0.9941,0.4808,-0.8778,0.1387,
33.918172,0.2685,0.4180,1.0808,0.5284,-1.2517,-0.4013,
34.018809,0.0967,0.1798,1.2826,0.7117,0.9175,-0.0629,
34.119092,0.1994,0.1630,1.0605,-0.2034,-1.4184,-0.2999,
34.219071,0.0430,0.2636,0.8988,0.3476,0.8406,0.3396,
34.319208,0.0579,0.2211,1.0183,-0.4209,0.0373,-0.0562,
34.419337,0.1617,0.1788,0.9675,0.0715,-0.4881,-0.0153,
34.519642,0.0779,0.2643,1.0200,0.5528,0.6212,0.3213,
34.619712,0.1507,0.3369,0.9110,0.6310,1.2248,0.6060,
