t,Wx,Wy,Wz,Wt
0.008667,-0.093,-0.779,0.345,0.857
0.015689,-0.12,-0.817,0.413,0.923
0.026213,-0.12,-0.786,0.475,0.926
0.037367,-0.071,-0.663,0.591,0.892
0.048113,0.071,-0.34,0.676,0.76
0.124366,0.412,0.112,0.673,0.797
0.134756,1.125,1.616,0.626,2.066
0.144583,0.903,1.372,0.632,1.76
0.154937,0.72,1.188,0.623,1.522
0.158511,0.506,0.736,0.38,0.971
0.165868,0.454,0.602,0.323,0.821
0.16847,0.249,0.114,0.087,0.288
0.176389,0.197,0.007,0.032,0.2
0.186655,0.031,-0.379,-0.131,0.402
0.191197,-0.283,-0.983,-0.277,1.06
0.192457,-0.311,-1.09,-0.29,1.17
0.198837,-0.37,-1.188,-0.297,1.279
0.209269,-0.613,-1.5,-0.313,1.651
0.21994,-0.802,-1.599,-0.289,1.812
0.230648,-1.008,-1.378,-0.224,1.722
0.235325,-1.042,-1.005,-0.101,1.451
0.241962,-1.027,-0.962,-0.07,1.409
0.25292,-0.922,-0.908,0.033,1.295
0.263405,-0.631,-0.92,0.151,1.126
0.273382,-0.29,-0.922,0.172,0.982
0.276394,0.108,-0.778,0.14,0.798
0.284232,0.129,-0.749,0.142,0.773
0.294627,0.255,-0.462,0.16,0.552
0.299117,0.362,0.005,0.161,0.396
0.300273,0.381,0.084,0.153,0.419
0.307575,0.399,0.162,0.147,0.455
0.317895,0.469,0.442,0.114,0.654
0.328015,0.525,0.619,0.101,0.819
0.338554,0.649,0.903,0.111,1.117
0.340694,0.75,1.016,0.121,1.269
0.349264,0.779,1.05,0.122,1.313
0.360877,0.883,1.184,0.112,1.481
0.370759,0.978,1.326,0.051,1.649
0.381115,1.013,1.448,-0.047,1.768
0.38314,0.98,1.497,-0.147,1.796
0.391539,0.947,1.489,-0.167,1.773
0.402219,0.779,1.381,-0.221,1.601
0.404316,0.451,0.996,-0.264,1.125
0.407119,0.356,0.874,-0.266,0.981
0.408297,0.257,0.739,-0.27,0.828
0.414484,0.15,0.596,-0.272,0.672
0.424699,-0.259,0.088,-0.27,0.384
0.435233,-0.875,-0.363,-0.334,1.004
0.439318,-1.334,-0.475,-0.404,1.472
0.440608,-1.419,-0.483,-0.399,1.551
0.450681,-1.496,-0.499,-0.374,1.621
0.453165,-1.789,-0.627,-0.027,1.896
0.455852,-1.837,-0.629,0.037,1.942
0.45954,-1.909,-0.63,0.147,2.016
0.465163,-1.932,-0.626,0.186,2.039
0.46866,-1.949,-0.616,0.268,2.062
0.475366,-1.944,-0.617,0.269,2.057
0.485663,-1.856,-0.579,0.223,1.957
0.488201,-1.708,-0.485,0.096,1.778
0.491048,-1.678,-0.459,0.07,1.741
0.492179,-1.645,-0.437,0.043,1.703
0.499604,-1.611,-0.415,0.023,1.664
0.511926,-1.502,-0.309,-0.021,1.534
0.515159,-1.382,-0.035,-0.02,1.383
0.516232,-1.354,0.035,-0.018,1.355
0.52164,-1.327,0.099,-0.016,1.331
0.521712,-1.294,0.164,-0.015,1.305
0.522451,-1.279,0.197,-0.018,1.294
0.524267,-1.241,0.259,-0.019,1.268
0.532273,-1.2,0.324,-0.021,1.243
0.534944,-1.017,0.52,-0.045,1.143
0.542543,-0.97,0.55,-0.054,1.116
0.553096,-0.797,0.636,-0.081,1.023
0.563537,-0.569,0.79,-0.097,0.979
0.567122,-0.36,0.957,-0.045,1.024
0.56834,-0.329,0.969,-0.023,1.024
0.573915,-0.299,0.98,0.004,1.025
0.576276,-0.25,0.98,0.091,1.016
0.58436,-0.232,0.969,0.138,1.006
0.594745,-0.177,0.934,0.351,1.013
0.599078,-0.084,0.894,0.609,1.085
0.600269,-0.07,0.885,0.643,1.096
0.606519,-0.054,0.878,0.668,1.105
0.617082,-0.031,0.846,0.729,1.117
0.627961,-0.032,0.836,0.77,1.137
0.63086,0.027,0.95,0.838,1.267
0.633435,0.052,0.966,0.848,1.287
0.634568,0.079,0.985,0.853,1.305
0.640397,0.109,1.008,0.855,1.326
0.643117,0.228,1.065,0.85,1.382
0.650716,0.249,1.07,0.85,1.389
0.661138,0.417,1.084,0.832,1.428
0.664247,0.599,0.975,0.744,1.365
0.667071,0.624,0.93,0.72,1.331
0.668302,0.644,0.891,0.695,1.3
0.672172,0.657,0.848,0.671,1.266
0.672229,0.672,0.8,0.648,1.23
0.67468,0.678,0.759,0.627,1.195
0.676248,0.679,0.72,0.607,1.161
0.682253,0.673,0.676,0.592,1.122
0.684337,0.652,0.575,0.563,1.036
0.69275,0.633,0.543,0.555,1.002
0.703412,0.546,0.464,0.542,0.898
0.707084,0.392,0.555,0.583,0.895
0.708245,0.364,0.583,0.6,0.913
0.713433,0.341,0.615,0.62,0.937
0.716242,0.301,0.712,0.679,1.029
0.724597,0.289,0.751,0.705,1.07
0.735136,0.276,0.927,0.83,1.274
0.738431,0.328,1.271,1.048,1.68
0.740266,0.348,1.352,1.097,1.776
0.742631,0.37,1.447,1.146,1.882
0.746528,0.393,1.539,1.195,1.988
0.74715,0.425,1.641,1.246,2.104
0.748346,0.453,1.743,1.297,2.22
0.751156,0.469,1.797,1.324,2.281
0.757142,0.503,1.9,1.376,2.399
0.759195,0.624,2.217,1.538,2.769
0.767699,0.667,2.316,1.597,2.892
0.771194,0.898,2.765,1.888,3.466
0.772369,0.949,2.876,1.955,3.605
0.775692,0.995,2.992,2.02,3.744
0.776418,1.035,3.095,2.088,3.874
0.781524,1.085,3.17,2.156,3.985
0.781631,1.13,3.219,2.224,4.073
0.782515,1.183,3.259,2.29,4.155
0.78434,1.212,3.273,2.319,4.19
0.791234,1.266,3.309,2.373,4.264
0.802026,1.492,3.428,2.548,4.525
0.804354,1.752,3.504,2.717,4.768
0.807242,1.816,3.517,2.764,4.828
0.808409,1.875,3.509,2.803,4.867
0.814808,1.934,3.499,2.834,4.901
0.82504,2.138,3.508,2.93,5.046
0.836255,2.292,3.517,3.008,5.164
0.838938,2.475,3.433,3.082,5.235
0.841026,2.505,3.414,3.083,5.237
0.843962,2.529,3.388,3.083,5.232
0.850483,2.55,3.355,3.076,5.217
0.860498,2.487,3,3.035,4.939
0.863297,2.206,3.206,2.93,4.871
0.867265,2.005,3.308,2.888,4.828
0.871373,1.897,3.316,2.88,4.784
0.875358,1.612,3.268,2.911,4.664
0.876429,1.499,3.266,2.935,4.64
0.881843,1.393,3.272,2.964,4.629
0.884548,1.094,3.299,3.084,4.646
0.892194,1,3.307,3.131,4.662
0.90268,0.704,3.253,3.312,4.695
0.907229,0.294,2.896,3.58,4.614
0.908367,0.266,2.859,3.597,4.603
0.913587,0.211,2.798,3.625,4.584
0.916318,0.037,2.624,3.698,4.535
0.923726,-0.021,2.58,3.716,4.524
0.933923,-0.239,2.479,3.781,4.527
0.945298,-0.482,2.419,3.85,4.573
0.94846,-0.833,2.2,3.984,4.627
0.951691,-0.871,2.139,4.003,4.622
0.955807,-0.907,2.048,4.021,4.602
0.96689,-0.938,1.764,4.059,4.524
0.978345,-0.798,1.099,4.17,4.386
0.980621,-0.586,1.106,4.167,4.351
0.984058,-0.524,1.113,4.15,4.328
0.984411,-0.455,1.117,4.13,4.302
0.990114,-0.385,1.113,4.108,4.274
0.990177,-0.31,1.109,4.084,4.243
0.990683,-0.233,1.105,4.059,4.213
0.993683,-0.158,1.105,4.034,4.185
1.011896,-0.071,1.109,4.004,4.156
1.015311,0.633,0.977,3.674,3.854
1.016329,0.695,0.907,3.623,3.799
1.024397,0.755,0.829,3.566,3.738
1.034937,0.955,0.424,3.344,3.503
1.036957,1.098,-0.05,3.111,3.299
1.038829,1.121,-0.151,3.067,3.269
